Time,Nome,Usuario,Tempo,Texto
Vasco,Wes★彡,@wesmendess,10 s,"Ele assumiu o Anselmismo, não tô entendendo nada.
Dps do Anselmi ele tá jogando nesse esquema maluco, mas o Vasco deve ser o 01 da competição."
Grêmio,Igor,@Pai85535364Igor,13 s,"O boca é foda, mas boa parte dessas taças de libertadores foram conquistadas com roubos gritantes. Cruzeiro e Grêmio sofreram!"
Palmeiras,Costa ᶜʳᶠ,@ecostacrf,16 s,"Velho o que esta acontecendo com o Palmeiras?

23h59: ""Palmeiras quer sair da Libra""

00h00: ""o Alviverde topa assiná-lo se for o desejo da maioria dos clubes da Libra"""
Flamengo,Rimuru Tempestᶜʳᶠ4,@AinzOoalGownCRF,17 s,"porra mano, flamengo passaria sem sofrer"
Flamengo,Taty_cachorra,@cachrorra2041,20 s,Se o flamengo vencer por 4 gols. Vou mandar foto do meu bucetão pra 10 pessoas que me segue kkk
Flamengo,Fernando Rochaᶜʳᶠ FL4MEN9O Enea-Penta-Tetra,@fernandoasr100,21 s,"Entrevista do 
@alemancuso5
 na GETV.
""Torcida do Flamengo é a melhor do mundo""."
Flamengo,FlaColossal,@flacolossal0,23 s,"Mas o elenco permiti isso e outra os reservas do Flamengo são nivéis de time titular.
Desse time que vai jogar hoje o único que está um pouco abaixo é o Luiz Araújo.
O restante está jogando bem regular."
Flamengo,jurídico bella ramsey,@Art3misp,24 s,Nao tiram o nome do flamengo da boca nunca ne kkkkkkkkkkkkk
São Paulo,Isaías Ventura,@iventuraramirez,25 s,"Análise de São Paulo: O que vemos no México é o roteiro da Lava Jato aplicado à fronteira. Bases clandestinas em Nuevo León e Chihuahua buscam criar um ""Estado paralelo"" que responda ao Pentágono, não à capital mexicana. "
Flamengo,Riko,@rikoNFL,29 s,"Hoje os 3 melhores times no Brasil são o Flamengo, Palmeiras e Fluminense. Neymar não jogou contra os 2 melhores e fez um jogo muito ruim contra o Flu 

Contra times do nível do Santos o único que ele jogou bem foi contra o Atlético Mineiro"
Flamengo,Diego Nobre,@DiegoedemaisN,30 s,E todas as outras torcidas juntas amigão??? Voce realmente acha que flamengo tem 200 milhões de torcedores?
Santos,Tiago Barros PT,@TIAGOBARROSREDE,30 s,"Por isso em legítima defesa da democracia e da soberania nacional derrotaremos todos os candidatos Bolsonaristas Caiado, Flávio Bolsonaro, Romeu Zema, Renan Santos, Augusto Cury e iremos reeleger Lula presidente da república."
