Time,Nome,Usuario,Tempo,Texto
Internacional,Edvaldo RReis,@edvaldorreis,5 s,"AGORA : lula e moraes ganhando projeção internacional, não do jeito que eles gostariam claro!"
Botafogo,#FORAPARDAVEL,@RafaelCoimbraDo,6 s,"Nem em Botafogo ta rendendo , imagina na seleção"
Santos,Careca,@zezin777777,6 s,Vcs vivem em que mundo? o Neymar não consegue jogar no Santos porra
Santos,junin ᶜʳᶠ,@juninwyz,7 s,"Sabe o pior da seleção perder, não é nem perder em si mas ver o pessoal pedindo o cara que não joga no SANTOS, inacreditavel, mais 2 meses dessa ladainha pqp"
Vasco,may jurídica do ville valo,@Diam0ndHeartt,10 s,consegui sentir mais dor assistindo brasil x frança do q meu time perdendo de virada contra o vasco
Palmeiras,duduxu,@duduxurl,10 s,Todo mundo sabe que só não tem verde por causa do Palmeiras
Botafogo,ryan roba cena,@ryann_preto,12 s,vai pro botafogo rapa
São Paulo,Epif'S 7,@EpifS_,12 s," EXCL | O São Paulo terá que REPETIR a votação do balanço de 2025, que reprovou as contas da gestão Casares.

Tafner, que gerencia o sistema online de votos, realizou a votação FECHADA, enquanto deveria ser ABERTA.

Nova votação vai das 19h de hoje às 22h de amanhã. 
@UOL"
Santos,Jefferson bandeira,@Jeffersonb84803,22 s,"Vinícius Jr: mas 1 jogo ruim na seleção brasileira ( tudo normal)
Douglas Santos: o pior em campo para mim tá fora da copa 
Luiz Henrique:o melhor em campo está na copa do mundo.
Bremmer: ótimo jogo. Briga até para ser titular na copa do mundo 
Ancelotti: merece ser criticado"
Palmeiras,gustavo,@quemdl,22 s,esse danilo do palmeiras nunca mais pode vestir a camisa do brasil
Santos,lucas,@lucashthiele,23 s,"sinceramente, se tu me falar que o neymar que vai vim pra seleção é o exato mesmo que o do santos, o vini vira banco na hora

muito mal hoje"
Santos,Felipe TETR4 DA LIBERTADORES 811922,@Felipe265463,24 s,Até o Ayrton Lucas é melhor que Douglas Santos
Santos,Jônatas de Carvalho,@JoDCarvalho,24 s,Passo raiva com o Santos e agora com l Brasil
Grêmio,Jv,@jotave_07,24 s,"Vini Júnior na seleção é o Jp Galvão no Grêmio, pqp"
Vasco,Baeta,@daniel_baeta,24 s,"Brenner reserva no Vasco titular na seleção brasileira, como que explica?"
Santos,.,@_pcvc,25 s,"Tá ""mal"" salvando o santos, pq sozinho msm faz nada"
Grêmio,gw,@miranhaslo,31 s,Vinicius Jr. com a 10 da seleção é o mesmo que o Pavon com a 7 do Grêmio
Santos,montanhista,@homempalmeiras,31 s,"Vini jr joao pedro e douglas santos
Forca!"
Santos,FlaTóxico,@FlaToxicoRN,31 s,"Endrick precisa ser testado como 9 
Douglas Santos sem condições! 
Precisamos de uma meia..
Matheus cunha não sabe oq é em campo.

Luiz Henrique titular 
Raphinha ou Estevão no meio!

Vini precisa entregar mais.
Não é o mesmo jogador na seleção.."
Vasco,FLU-VERDADE,@VerdadeFlu,32 s,"Quem falou em Vasco?

Pelo jeito, vc acompanha bastante pro aqui, né? Tá muito interessado..."
Vasco,7th year: erico,@bgyuceta,32 s,o vasco ja ganhou da seleçao de virada
Flamengo,Karina,@_kaacosta,33 s,Torcida do Flamengo em peso
Santos,zuzuya bolas de aço ॐ,@zuyamaldito,33 s,Pprt pq todo mundo relacionado ao pagão santos é tão retardado
Flamengo,Baraldi,@Baraldi_58th,35 s,"Na copa o Vini vai ser isso ai e vai ser 9.fim da carreira dele, vai passar um vexame, vai manchar a camisa 10 da seleção (coisa q ele já faz) e vai pra arábia se esconder, aí no fim da carreira quando não aguentar mais correr, volta pro flamengo"
Corinthians,henriquefvv,@henriquefvvusa,35 s,"Corinthians precisando de um ponta, quem vc preferem: Vinícius júnior com a camisa da seleção ou Gustavo mosquito em luta contra o rebaixamento?"
Vasco,soter ✠,@sotesao44,36 s,eu sou assim com o vasco morro de medo de nunca mais ganha nada do quero eh que o brasil se FODA
Vasco,Cadu,@caduorleans,36 s,"O rico com 3 bilhões de dividas que atrasa salário kkkk
Agora me mostra onde o Vasck fez 300 milhões  em 2025
Ja que nem o Vasco divulgou o balanço kkkk"
Flamengo,Fabiano Artiles,@ArtilesFabiano,37 s,"Luiz Henrique não é titular desse arremedo de time.

Kkkkkkkkkkkkk Kkkkkkkkkkkkk Kkkkkkkkkkkkk Kkkkkkkkkkkkk Kkkkkkkkkkkkk Kkkkkkkkkkkkk 

Motivo: não jogou no Flamengo.

Bizarro o que virou a seleção brasileira."
Internacional,animecangacofm,@animecangacofm,37 s," PERDIDA NO SMARTPHONE! 'LABYRINTH', O NOVO FILME DE SHOJI KAWAMORI, GANHA TRAILER INTERNACIONAL E VISUAL DE LUXO! 
animecangacofm.blogspot.com/2026/03/perdid
…

#LabyrinthAnime #ShojiKawamori #MeikyuNoShiori #AtarashiiGakko #StudioSanzigen #Anime2026 #MacrossCreator #AnimeCangacoFM"
Cruzeiro,Arthuzin,@arthurgpinto,38 s,"O Vini Jr. da seleção seria reserva do Wanderson no Cruzeiro, bizarro"
Vasco,teshugo,@oteshugobr,43 s,“Vcs” o cara torce pro Vasco kkkkkkkk
Flamengo,Leafar,@Leafar2077,43 s,"A regra é simples, é cria ou joga no flamengo? Não vai pra seleção. As piores atuações que já vi foram dessas peças"
Vasco,Felipe,@Feijon3s,43 s,O Vasco jogaria melhor contra a França do que esse catado da seleção
Botafogo,Dr. Flacker,@DrFlacker,44 s,"O nível da bizarrice:

O meio campo com um jogador do Botafogo e um jogador de um time aleatório da Turquia.

Como que pode uma coisa dessas?!"
Santos,eliefi,@hrhujsywb,45 s,Vendo o Vinícius junior jogar é melhor convocar aquela baleia que joga no santos
Santos,Henrique Cunha,@hcunha09,45 s,"Problema do Brasil é estrutural na montagem do time. Tirou Andrey Santos e Casemiro e o time mudou completamente na entrada de dois jogadores mais físicos e na minha opinião melhores. O que fica a desejar é o ataque, o ataque do Brasil é horrível e Vinicius Jr. uma ameba"
Santos,𝐬𝐮𝐧⁴⁴ || vai ver o zayn,@sooyabdz,45 s,não resolve os problemas do santos quem dirá da seleção
Santos,leo grabovski,@leograbovski,46 s,vinicius jr não seria titular no santos futebol clube
Botafogo,mistério do planeta,@hegz21_,47 s,Parece que ele é Botafogo fanático
Flamengo,Matheus Enderson,@MEnderson27,47 s,Joga no Flamengo. Mal vão dar repercussão pra falha dele.
São Paulo,Brasil no Centro,@BRnoCentro,48 s,"Eduardo Leite entrou de vez no jogo presidencial.

O governador do Rio Grande do Sul foi a São Paulo para se reunir com Gilberto Kassab e tentar viabilizar sua candidatura pelo PSD em 2026. O movimento acontece após a desistência de Ratinho Júnior e abre uma disputa interna"
Santos,dezirrefc,@dezidezi_,49 s,Neymar da Silva Santos Junior. E nao irei elaborar muito.
Grêmio,Renan,@Renankite,55 s,Brasil não tem laterais KKK parece o Grêmio
Flamengo,mateus,@OakMateus,56 s,Caralho que saudade do meu Flamengo
Flamengo,yazzᶜʳᶠ,@yazzksj,57 s,ainda bem que minha seleção é o clube de regatas do flamengo #BRAxFRA
Santos,mariana,@marigotcinema,58 s,a pior parte da culeção perder é saber que em algum puteiro de santos o pé de cana da baixada tá feliz 
Santos,Ricardo S. S.,@RicardoScarpine,58 s,"Entre Vini Jr da seleção e o Neymar de hj do Santos, eu prefiro o Neymar de hj sem uma perna"
Vasco,mark pendragon,@PendragonMark,58 s,"VSFD!!!

A maior seleção da história se APEQUENOU!!!

Se tornou o VASCO DA GAMA DAS SELEÇÕES!"
Vasco,Kuroda,@lumosznox,1 min,"SO TEM BAGRE NO BRASIL MEU DEUS

EU QUERO VER O ANDRÉS GOMES, QUERO VER CUIABANO QUERO VER O VASCO JOGAR 
NÃO ESSE FUTEBOL PÍFIO"
Flamengo,mary.,@maary202316,1 min,Podia ser um jogo do flamengo
Internacional,Luís Galrão,@LGalrao,1 min,"Pelos vistos a redação do 
@Now_Canal_
 também ainda não sabe verificar vídeos plagiados das redes... O embuste do analista internacional é de ontem, enquanto este da pseudo #informaçãoexata é de hoje... #pósverdade #desinformação"
Santos,cahê,@matheuscahe,1 min,melhores em campo: luiz henrique e danilo santos
Santos,_guguets,@_guguets,1 min,O futebol do Vini na seleção me lembra o Lucas Braga na época do Santos
São Paulo,LEO GATTONI,@LEOGATTONI,1 min,Fico impressionado como em São Paulo é possível retirar ingressos gratuitos pelo app Sympla. Já em Belo Horizonte é praticamente impossível! Mas quando você chega no local tem os cambistas vendendo os ingressos retirados gratuitamente. É preciso acabar com isso!
Santos,caue,@quiuezin,1 min,"esse vini jr me deu raiva q nem o guilherme amado dava no santos.
cara desastroso puta q pariu"
Santos,patrick,@pk_nandes,1 min,"leo pereira, douglas santos e vinicius júnior, 3 jogadores que não merecem a convocação"
Santos,R9,@AlanTuffi,1 min,Cuiabano é melhor que esse Douglas Santos
Fluminense,Erica Manu ✠,@EricaEmanuelly,1 min,Fluminense foi um dos times que menos levou gol no brasileiro quando ele tava lá fora q ele tbm ja tem experiência em copa eu realmente não entendo isso
Flamengo,manaus vai ficar biruta lalala,@joaomoreiramnz,1 min,Luís Henrique no Flamengo é questão de urgência
Vasco,yan ✠,@yandovasco,1 min,vini na selecao eh a msm coisa que o loide foi pro vasco
Flamengo,fataxzin,@fataxgoat,1 min,"ainda bem q eu sou flamengo, depender do brasil p ser feliz ta difícil"
Santos,Flaniverso | Espaço Rubro Negro,@FlaniversoERN,1 min,Só sei que Andrey Santos e Casemiro não dá mais
Santos,Diegoo,@Diiegorai,1 min,VINIJR NA SELEÇÃO É O GUILHERME NO SANTOS
São Paulo,JP.,@joaogs01,1 min,as atuações do vinicius junior na seleção brasileira são piores que as do ferreirinha no são paulo. que horror.
Fluminense,Sobrinho do Zubeldia,@ffcpioneiro1902,1 min,Nem o Soteldo pelo Fluminense fez um jogo tão inútil quanto o Vini jr hoje pela seleção
Santos,Fla Buteco,@FlaButeco_,1 min,"Wesley, Bremer e Léo Pereira, COPA DO MUNDO NELES!!

E o Alex Sandro pode ficar tranquilo pq ele é MIL VEZES melhor que o Douglas Santos"
Flamengo,Anderson,@ajas10,1 min,"Jogador formado no Flamengo e seleção eh isso aí desde sempre !!!

Jogam nada, isso quando não entregam !!"
Flamengo,Moises Viana,@moisespsviana,1 min,Flamengo se tiver condições...
Internacional,Marcus Vinícius Garcia,@marcusfgarcia,1 min,"Dito isso, ele é melhor que todos os volantes do Internacional."
Flamengo,ernesto,@PedroErnesto06,1 min,Quando o Flamengo comprar esse cara aqui fudeu
Flamengo,tutu,@two_a04,1 min,esse aqui passa até mal se não falar de Flamengo
Cruzeiro,Political Refugee,@p_refugee,1 min,Atletico e Cruzeiro
Flamengo,@Miihgsantos,·,,"BH, PEDRO, PULGAR, CARRASCAL, JORGINHO. Ou melhor toda a seleção do Flamengo"
Santos,Funcionária da Lua,@MaxDenki,1 min,"Mas ele tá afundou o santos últimos 3 jogos, a copa do mundo não é contra o juventude rebaixado"
Fluminense,FLU-VERDADE,@VerdadeFlu,1 min,"Que clube que não queria deixar o Vasco jogar? 

O Fluminense até emprestar estádio pra essa merda o fez.

Ahh sim... TODOS os clubes de uma liga que exigiram o cumprimento de um regulamento que impedia que jogadores fossem pagos? Ahh tá..."
Flamengo,g,@ggiagiox,1 min,"é isso, arabia ou palmeiras e flamengo kkkkkkkk melhor PL mesmo"
Internacional,Gabriel Abi Ramia → tubespark.ai,@gabrielabiramia,1 min,"Rubio mandou a real: o Estreito de Ormuz, por onde passa 20% do petróleo mundial, só é instável porque o Irã ameaça fechar a rota pra pressionar o Ocidente. A hipocrisia é gritante — os mesmos países que gritam ""direito internacional"" ficam em silêncio quando Teerã ameaça"
Corinthians,maria o ornitorrinco,@mariarolagrossa,1 min,o corinthians joga mais bonito
Santos,@predestined___7,·,,o atleta douglas santos irrita
Flamengo,L.Andrade'99,@andradeleonard8,1 min,Flamengo precisa contratar esse Luiz Henrique
Flamengo,Paulo,@PauloRe48811361,1 min,"Matheus Cunha, esses laterais. Esse zagueiro Flamengo ruim demais mesmo

Eu chamaria Endrik também. Vini Júnior, só passa o pé em cima da bola. Enfeita demais

Neymar acho que vai. Seleção não tem Meia

Estevão faz, muita falta também

Concordo, com esses que você citou pra ir!"
Flamengo,haly,@halymarinho,1 min,incrível que nada vindo do flamengo dá certo na seleção
Palmeiras,Brunorescio,@brunorescioo,1 min,Dez da seleção sendo o Vini Jr = Dez do Palmeiras sendo o Rony
Flamengo,Duda TETRA E ENEAᶜʳᶠ,@dudafrancacrf,1 min,Ainda bem que a minha seleção é o Flamengo
Santos,samuel ramos CRF,@samuelramo86,1 min,Por isso tá no Santos 
Santos,Ramon Taffarel,@ramon_taffarel,1 min,Tiraria Rivaldo e colocaria Nilton Santos
Santos,Robin.souzza05,@Robinhosouzza5,1 min,Se esse Cunha for convocado mais Léo Pereira e Douglas Santos é pra acabar
Palmeiras,K1nhooW,@K1nhooWR6,1 min,"CHEGA OLHA O GOL QUE ESSE MERDA PERDEU KKKKKKKKKKKKK ELE FUROU A BOLA SOZINHA, O 10 DA MAIOR SELEÇÃO DO MUNDO, ME SINTO VENDO O RONY NO PALMEIRAS NOVAMENTE QUE BIZARRO"
Corinthians,Gazeta Esportiva,@gazetaesportiva,1 min,"Lingard aparece no BID e fica livre para estrear pelo Corinthians 
bit.ly/3NJECkA

#GazetaEsportiva"
Flamengo,Iago,@Iago22221,1 min,"ELE NÃO É BAGRE NA SELEÇÃO NÃO PRR, É SÓ PQ ELE ELE É DO FLAMENGO, VAI TOMAR NO CU VINÍCIUS JÚNIOR"
Flamengo,clara.,@gwbgol,1 min,aparentemente vamos ver o flamengo ser hexa antes do brasil
Internacional,BC Ofertas,@bcofertas,1 min,"BR Ofertas todos os dias 

 Abaixo da média: -R$ 241,10
 Melhor janela de preço agora

 Vale correr!

Pegue já: 
amazon.com.br/dp/B0DJPTBCD6?
…

Por R$ 1.934,34
em até 10x sem juros

ASRock Placa Mãe Micro ATX Z890M Riptide WiFi 6E LGA1851 DDR5 256GB M.2 9066MHz | Internacional"
Santos,LIL NOTTI,@NOTTI_MC,1 min,Douglas Santos nao é jogador de seleção… maluco todo duro
Botafogo,Gildson,@gildson_gr,1 min,"Em um jogo contra a França, os principais atacantes de Barcelona e Real Madrid não jogaram nada e um ex Botafogo e atual Zenit foi o melhor da partida. Parece até brincadeira, mas não é."
Botafogo,Carlos Henrique Neves Souza,@DonateloCV,1 min,"Claro que vem, ele veio pro Botafogo."
Flamengo,Gabriel Fernandes,@TibiaEternal,1 min,O Flamengo destruiu a seleção brasileira...
Corinthians,PAULO CESAR,@PauloCe95579594,1 min,"Mas a partida do Neymar contra o Corinthians,e do Vinícius hoje ,foi pau a pau"
São Paulo,Maicon Silvaa,@MaiconSilvaa3,1 min,"Casares será expulso,massis perde a presidência, depende dos envolvidos tbm vão cair 
Isso ajuda o MP e polícia civil a investigar os corruptos dentro do são Paulo"
Vasco,Shuya ⓟ,@br_shuya,1 min,O tipo de situação que só acontece com o Vasco
Santos,**,@emboarverde,1 min,"Vini Junior, Douglas Santos e Leo Pereira foram tranquilamente os piores jogadores dd hoje, partida ridícula dos 3"
Santos,Jacinta Veloso,@jacinta_veloso,1 min,"Não tem como o Vini Jr ir bem na seleção... não temos um lateral Douglas Santos não apoia e breca a transição. 
#BraxFra"
Flamengo,Carvalho,@xispew,2 min,"Eu to falando desde a partida contra o Japão: colocar flamengo e ex flamengo na seleção hoje, é papo da inglaterra ser hexa antes da gnt"
Santos,Brasil Alternativo,@bralternativo_,2 min, AGORA: Renan Santos (líder do MBL) e Gabriel Costenaro (ex-MBL) trocam OFENSAS no Rio de Janeiro.
Flamengo,Carlos Freitas,@CarlinhosDeBoa,2 min,"É interessante o quanto o Flamengo é lotado de Rivais kkkkkkkkkk
Os caras estão criando uma narrativa que Léo Pereira deu os gols kkkkkkkkk"
Santos,Davi Vieira,@Daviv002,2 min,Esse lado esquerdo do Brasil é provavelmente o pior da história: Douglas Santos e Vini JR. Cemitério de jogadas.
Flamengo,membro da Flaleque,@jostapeu,2 min,"presta nao

tem q voltar pro flamengo logo q eh lugar de jogador ruim

volta."
Cruzeiro,pribas,@paularibasbh,2 min,Cruzeiro não vai pedir o retorno do Kauã Prates da seleção sub 20 não?
Vasco,E vagabundo tá lá,@mthleite,2 min,"Vai neymarzetes, falem que o jogador que não fez diferença nenhuma contra NOVORIZONTINO e tomou 6x0 do Vasco tinha que ser convocado kkk falem, quero ver"
Fluminense,Rinaldi,@Arthur_Rinaldi_,2 min,Ai tu tem que chamar o fluminense e o renato
Santos,Yannick,@IgorYannick,2 min,O zagueiro Bremer tentou mais passes verticais que o Andrey Santos no jogo
Corinthians,Bibos,@JosCaldas44,2 min,"E tu não entendeu a piada, mas vamo lá. Nem com o novohorinzotino ele fez algo, nem com Corinthians, nem com São Paulo, nem com Palmeiras, nem com Mirassol, nem com Cruzeiro"
Flamengo,Reinan,@reinankings,2 min,"Olha o gol que o vinicu perdeu, pqp! E a torcida do Flamengo disse que o Léo Pereira tem que ser convocado e o Bremer não kkkkkkk"
Botafogo,daniel,@dansalim97,2 min,"Danilo, LH, IJ… a seleção IMPLORA por Botafogo"
Flamengo,Igor,@Igorrsawss,2 min,"Vini é uma merda colossal, desculpa ai.

Posso ser torcedor do Flamengo, mas isso ai n existe n"
Vasco,Asa de Urubu,@asadeuruburei,2 min,O Vasco não sai da lama por isso. Vcs sequer ouvem as críticas. Estão tão desesperados que qualquer merda vira boia de salvação. Nem questionam. Por isso o Vasco vai continuar à deriva.
Botafogo,@su_moraess,·,,"Danilo mostrando que é jogador do Botafogo mesmo, todo ruim mkkkkk"
Botafogo,Paulo Cesar,@paulocesartn,2 min,"Quando tem o Palmeiras envolvido, é sempre uma mobilização. Não vi falarem do sintético do Botafogo, do Atlético Paranaense."
Santos,Joel Silva,@JoelSilva257478,2 min,Felipe Santos kkkk nunca será mulher.
Fluminense,Gabi,@mengotux,2 min,"Foda é que o fluminense em si tem um medo absurdo da esquerda no poder, sendo que todos os governadores presos são de direita"
Palmeiras,Lucas #ForaAbel,@lucasdanilort,2 min,"Não existe um mundo onde Danilo (ex-palmeiras) e Luiz Henrique não sejam titulares nessa seleção. 
Não existe esse mundo."
Santos,Caio,@caiomacel,2 min,"Vini driblando em velocidade, ele joga muito, porém se ele encontra uma  defesa veloz e que marca bem, ele sente dificuldade. 
Giovani, craque do Santos e do Barça, já tinha falado isso."
Vasco,ESPN Brasil,@ESPNBrasil,2 min,"Polícia Civil recupera carga roubada de materiais esportivos do Vasco que estava avaliada em R$ 950 mil

#FutebolNaESPN"
Flamengo,PrettyFlacko,@Gustavoalc_,2 min,"Não pode levar jogador ou ex do Flamengo, tinha que ser proibido"
Vasco,FUT INSIDER,@futeinsider,2 min,"Polícia Civil do Rio recupera camisas do Vasco que haviam sido roubadas.

Criminosos haviam roubado um caminhão com material esportivo que estava a caminho do CT do clube.

O prejuízo poderia chegar a R$ 900 mil."
Internacional,Helder Floret ✠,@hfloret,2 min,"O craque internacional que faz falta na seleção brasileira não é o Neymar

É o Vinicius Junior do Real Madrid"
Santos,Augusto Nunes,@augusto_nuness,2 min,"Kaiki é muito mais lateral que o Douglas Santos, com todo o respeito"
Santos,Mob,@Gab0633,2 min,vinicius odeia o douglas santos com todas as forças meu deus
Cruzeiro,juh,@vyollet666,2 min,"Dida era imoral viu, tive a honra de vê-lo jogar pelo Cruzeiro"
Botafogo,Charles River,@CecGustavin,2 min,BOTAFOGO PRA MIM É BAIRRO
Fluminense,Verônica Lima,@veronicalima_ve,2 min,"Nossa mobilização na Alerj, junto com outros parlamentares de oposição, deu resultados: o TJRJ anulou a eleição ilegítima e golpista para a Presidência do parlamento estadual. Essa vitória é do povo fluminense e da nossa democracia!"
Santos,Remo mas não aquele tipo de Remo,@lento_remer,2 min,"Ta na hora de valorizar mais os jogadores que jogam aqui, DANILO JOGOU ANOS LUZ MAIS QUE O ANDREY SANTOS"
Santos,wid,@widbishop,2 min,Douglas Santos pode jogar na seleção eu tbm posso
Flamengo,Freddy-Flamengo,@Fred107761,2 min,"Todos contra o Flamengo até na seleção, é muito gostoso."
Santos,Shorts do Timão,@shortsdotimao,2 min,''Douglas Santos recebe a bola''
Flamengo,Diniz,@DinizOfficiall,2 min,"Vocês (sagordo e samagro), 
@alexcrfla
 , euclides e cia tem de fazer campanha pra LH no FLamengo, é o jogador certo pra esse time"
Cruzeiro,Saboy,@Sadioo_Mane,2 min,Pq ele não fez isso contra o Cruzeiro em crise?
Vasco,@immlxw,·,,só com o vasco msm mds
Santos,Daniel Land,@Daniel_lff,2 min,"Não faz diferença nem no Santos, vai fazer na seleção sim, vai vendo"
