Time,Nome,Usuario,Texto,Data,topicos,Stop words
Fluminense,guimarãess,@guimaffc,"merece fluminense fudido 2019, 2009, 2017, 2018, 2024",2026-03-19 19:03:32,,"tu, o, de"
Flamengo,𐙚 jessi • arirang,@yoonbg7,"flamengo 20h comeback arirang 01hr, army flamenguista hoje soltando fogos!!!",2026-03-19 19:03:30,,"e, tá"
Flamengo,CFD - Futebol e Fantasies,@CFD_Oficial,": rossi; emerson royal, léo ortiz, léo pereira alex sandro; pulgar, jorginho arrascaeta; luiz araújo, samuel lino pedro. : marcelo rangel; marcelinho, marllon, tchamba kayky almeida; picco, zé ricardo, patrick paula vitor bueno; jajá alef manga.",2026-03-19 19:03:30,"Flamengo, Remo","e, e, e, e, de, e, e"
Flamengo,DECO SRN,@Deco_SRN,flamengo remo escalados!,2026-03-19 19:03:27,,e
Flamengo,Deivede,@Deivede73,indo ver flamengo remo porque nunca vou saber quando vou poder ver jogo remo novo hino remo bonito quero arranjar camisa remo porque foda flamengo vou torcer pro remo brincadeira bora flamengo leo jardim,2026-03-19 19:03:24,,"e, eu, um, do, de, e, por, que, o, do, é, e, por, que, eu, uma, do, e, se, o, do"
Flamengo,Cadu Azevedo,@caduazvdo,cbf quer salvar flamengo libra,2026-03-19 19:03:24,,"a, o, da"
Grêmio,Central Cartola,@central_cartola,brasileirão - 7ª rodada: bola rolando grêmio 0x0 vitória,2026-03-19 19:03:23,,
Grêmio,Felippe Garcia,@Garcia_Itaipu,camisa horrenda grêmio.,2026-03-19 19:02:37,,"que, do"
Grêmio,Iago Ferreira,@arquiteto_iago,começou! grêmio vitória estão campo.,2026-03-19 19:02:37,,"e, em"
Flamengo,Sankin,@SankinBR,"novos investimentos ou nao n impede nada dividir igualmente os lucros atuais novo sua jamanta animal, flamengo n vai ganhar msm q fluminense ou q remo, flamengo vai ganhar mais, só n vai ganhar 15 x mais",2026-03-19 19:02:37,,"em, e, de, o, o, o"
Flamengo,AdoniasRdeCNeto,@AdoniasRdeCNeto,"palmeiras ligar sac cbf. comprou campeonato entregaram pro flamengo, segundo sua teoria.",2026-03-19 19:02:37,,"o, tem, que, no, da, o, e, foi, a"
Fluminense,Anderson,@andrssonaraujjo,"fluminense conseguiu tomar gol victor luís, resume muito clássico",2026-03-19 19:02:37,,"o, do, isso, o, que, é, o"
Grêmio,Luiz Filipe Macedo,@lzfmacedo,"entendo importância financeira, mas podia ter diretriz proibindo patrocínio master pra poder deixar frente camisas futebol bem lisinhas grêmio hoje patrocínio master espetáculo",2026-03-19 19:02:37,,"a, uma, a, das, de, essa, do, sem, tá, um"
Flamengo,Ponci,@vitor_ponciano,po cara vdd 5 jogos maracanã mês você n for sócio pagar 1/2 vasco - r$ 50 flamengo - r$ 60 athletico - r$ 45 vasco - r$ 60 atlético mg - r$ 45 total - r$ 260 for inteiras r$ 520 for sócio 160 sócio + 60 vs vasco 220 só ingresso fica foda pro clt,2026-03-19 19:02:37,,"de, no, no, se, e, se, de, se, do, de"
Flamengo,TETRACAMPEÃO,@brunoestevaocrf,esses times mais modestos adoram dar vida contra gente pra vender caro derrota dps abrem as pernas pros outros adversários kkk foda flamengo. mas vamos vencer,2026-03-19 19:02:37,,"a, a, a, e, é, ser, o"
Flamengo,alicia ᶜʳᶠ,@clickd99,"muito isso, vei, não sei flamengo aguenta",2026-03-19 19:02:37,,"se, o"
Corinthians,Fiel Cartoon • Comissões Abertas •,@FielCartoon,daqui pouco corinthians campo!! chapecoense x corinthians campeonato brasileiro - 7ª rodada 21h30 arena condá amazon prime video,2026-03-19 19:02:37,VaiCorinthians,"a, tem, em"
Flamengo,@CRF News,@CRFNews1895,"nosso time gente campo! confira flamengo enfrentar remo, pelo brasileirão!",2026-03-19 19:02:37,"escalação, FLAxREM","é, a, em, a, do, para, o"
Vasco,GIOVANE DOS SANTOS,@Giovane170,só estou vendo ou vocês também?? vários flamenguistas fazendo vídeos falando bem torcida vasco kkkkkkkkk quer ganhar engajamentos mas está tranquilo torcida vasco braba mesmo,2026-03-19 19:02:37,,"é, eu, que, isso, da, do, eles, a, do, é"
Corinthians,A.netinha REVOLTADA,@AnnetteCarvalh4,"deus, pfv deus faça corinthians ganhar cumeiras f0der sempre",2026-03-19 19:02:37,,"o, e, o, se"
Grêmio,Rafael Targanski,@RTarganski,não parece camisa grêmio longe sequer parece tricolor. crime clube deixou new balance fazer,2026-03-19 19:02:37,,"que, é, a, do, e, de, ser, é, um, o, que, o, a"
Cruzeiro,ϟ,@sexccism,"salve dono cruzeiro! saravá, seu tiriri.",2026-03-19 19:02:37,,"o, do"
Palmeiras,PLACAR,@placar,clássico! são paulo palmeiras trocam farpas antes clássico pelo brasileirão,2026-03-19 19:02:37,,"é, e, de"
Grêmio,Grêmio News,@canalgremionews,grêmio confirma promoção cinco jovens ao elenco principal,2026-03-19 19:02:37,,"a, de"
Flamengo,Marquinhos Assunçãoᶜʳᶠ,@MarquinhosAssu2,"arbitragem definida ! comissão arbitragem cbf, confirmou nome árbitro pernambucano rodrigo josé pereira lima comandar corinthians x flamengo, domingo, 20:30 horas neo química arena.",2026-03-19 19:02:37,,"a, de, da, o, do, de, para, na"
Flamengo,Bruno Lemos,@Lemos_Santos,flamengo confirmado escalado luiz araújo entre os titulares. samuel lino pela segunda vez consecutiva como titular. pedro também segue mantido entre os titulares pela quarta partida entres os tirantes era jardim. paquetá começará como opção banco reservas.,2026-03-19 19:02:37,,"e, com, na, no, de"
Flamengo,José Tomás Fernández Pumarino,@fernandez_puma,"formación confirmada agustín rossi (); emerson royal, léo ortiz, leo pereira, alex sandro; erick pulgar (), jorginho (); giorgian arrascaeta (); luiz araújo, pedro guilherme y samuel lino. dt: leonardo jardim ().",2026-03-19 19:01:37,Flamengo,"de, de"
São Paulo,Antonio Morgado,@Antonio04454934,racista fdp nessas merdas são paulo vota bolsonaristas golpista covarde,2026-03-19 19:01:37,,"é, que"
Santos,Cezar Mateos,@CezarMateo21649,só lembrando ninguém queria assumir santos após saída kleber xavier.,2026-03-19 19:01:37,,"que, o, a, do"
Santos,victorbrreto.,@barreto_v99,"porra , santos vai eliminado pelo athletic",2026-03-19 19:01:37,,ser
Corinthians,Felippe SFC,@Felippe_x0,"ainda chorando fdp? vai torcer pro corinthians doente, parece criança mimada",2026-03-19 19:01:37,,"tu, tá"
Palmeiras,Statham Cabeludo,@JasonCabeludo,todos fazem. mas palmeiras faz muuuuuuito mais… desde as entrevistas abel até “protocolo weverton” time grito,2026-03-19 19:01:37,,"o, do, o, é, o, do"
Grêmio,Thiago Schönhof,@tschinoff,coisa horrível fonte dourada camisa grêmio,2026-03-19 19:01:37,,"que, essa, da, do"
Santos,NPOMV | Zine,@npomvtt,"faz tudo! kauê penna (santos bravos) comentou cover jaehyun (boynextdoor) postou ""menina vermelho"". ""incrível brother, muito bom poder te ajudar pronúncia orgulho"".",2026-03-19 19:01:37,,"ele, no, que, de, de, com, a, que"
São Paulo,pie roan ⋆,@jaovampire,"ingresso pra mim dia 21/03 uni? moro são paulo, tenho roupa mas não tenho ingresso",2026-03-19 19:01:37,,"um, no, em, a, o"
Palmeiras,Hugo Bertovi,@HBertovi,"opção mais provável, roubo favor palmeiras",2026-03-19 19:01:37,,"tem, a, a, do"
Flamengo,versão masculina da Lolly Vômito,@sportstanx,os times mais ladrões mund dps flamengo,2026-03-19 19:01:37,,"do, do"
Santos,gurgel,@orenangurgel,meu sonho afilhado hytalo santos,2026-03-19 19:01:37,,"ser, do"
Santos,É O TUBAS #SAFnoSantos,@Santao1912,"hora almoço pensando como seria vida santos tivesse presidente ama clube, trabalhe brigar títulos voltar crescer",2026-03-19 19:01:37,,"eu, na, do, em, a, se, o, um, que, o, que, para, ele, por, e, a"
Grêmio,João,@joaoandrade42,maldição todo jogo grêmio narrado pelo dan dan,2026-03-19 19:01:37,,"que, é, essa, que, do, é"
Vasco,Jorge Nicola,@jorgenicola,"ao vivo: timão, fla, verdão, sp, zêro, galo, vasco, santos, flu, bota, grenal, mercado, lusa+",2026-03-19 19:01:37,,
Corinthians,JULIO CAPALBO,@KING_CAPALBO,"conmebol libertadores sorteio 2026. os grupos fases, seus nomes três clubes, jogos, corinthians-tetracampeão copa brasil? , , .",2026-03-19 19:01:37,"Libertadores, CopaDoBrasil, Conmebol, Brasileirão2026","a, da, do, em, de, dos, de, dos, do, da, do, e"
Fluminense,JVzada,@JVguimaraesb21,"jogador vale 20 fluminense vende 10 jogador vale 15 fluminese vende 5,5 jogador vale 10 fluminense vende 1 + metas jogador nunca bate muito amaradorismo ! muita canalhice!! fora abutres!!",2026-03-19 19:01:37,,"que, o, é, é"
Flamengo,JcFlamengo,@flamengo_jc,chegou hora flamengo dar troco palmeiras kkkk,2026-03-19 19:01:37,,"a, do, o, no"
São Paulo,bê pontes,@gato__comunista,como vocês moram são paulo.,2026-03-19 19:01:37,,em
Palmeiras,Catão,@carlosedcatao,posso falar mesmo erro copa brasil pênalti eo caleri tava impedido eo palmeiras eliminado! sim pior erro história var pois as imagens sumiram!,2026-03-19 19:01:37,,"o, do, da, do, que, na, foi, foi, esse, foi, o, da, do"
Grêmio,Filipe,@filipe_lohn,opinião impopular! nem parece grêmio uniforme aí.,2026-03-19 19:01:37,,"o, com, esse"
São Paulo,Juliana,@julianaasouza9,"vendo meus ingressos lollapalooza 2026 lolla day • 20 21 março • meia entrada aceito cartão pix. me chama whatsapp tags: vendo, compro, vendo, ingresso, lolla, festival, são paulo, sexta, sábado,",2026-03-19 19:01:37,,"e, de, e"
Santos,PELÉ o maior jogador da história O Rei do Futebol,@santista1963,"clube desgraça, odeio demais santos, desejo tudo ruim pra merda clube, seja rebaixado denovo nunca mais volte pra série a, lugar desse timeco pequeno insignificante série b, anunciaram estuprador, larguei mão, foda santos.",2026-03-19 19:01:37,,"esse, é, uma, eu, o, de, essa, de, que, e, o, e, é, na, um, de, que, se, o"
Botafogo,Mazinho,@Mazinho0206,parecendo goleiro botafogo kk,2026-03-19 19:01:37,,"tá, o, do"
Vasco,lz,@lzmenz,"beleza mosaico ucrânia feito pelos *espectadores* tricolores devido ao espaço vazio seto, já te incomodou fato disso ou ainda chorando pensando vasco?",2026-03-19 19:01:37,,"e, o, da, no, o, tá, no"
Vasco,Michael the Jackson,@saudino0,"música cantada antes primeiro gol, momento empate virada era ""dale meu vasco""",2026-03-19 19:01:37,,"essa, foi, do, no, do, e, da"
Flamengo,mavis. ❦,@cellvamp,acho meu look amanha será blusinha cunt flamengo,2026-03-19 19:01:37,,"que, de, uma, do"
Flamengo,Nicki Magaj,@sepay1914,raaaaaaaaaaaaaaaaangeeeeeeel faz mais defesa espetácular salvando novamente remo placa : flamengo 20 x 0 remo,2026-03-19 19:01:37,,"uma, o, o"
Flamengo,Maxi Boeing,@Maxi_Boeing,"flamengo não recuou nada, tentando ir atrás dinheiro lfu usando cbf, pediu reunião pra “unificar” as ligas. kkk fingindo santo os outros clubes libra pra tentar abocanhar parte lfu . os malandros acham ninguém está vendo kkk",2026-03-19 19:01:37,,"tá, do, da, a, que, uma, tá, de, com, da, a, da, que"
