Time,Nome,Usuario,Tempo,Texto,Coletado_em,Futebol
Grêmio,Grêmio em Jogo,@Gremioemjogo,8 s,Quero distância do Grêmio dessa confraria de abobados!,2026-06-18 18:44:40,True
Cruzeiro,INGRESSO,@almiragace,8 s,Camisa 10 do Cruzeiro de Brasil  novo  Alex   para Turquia é o Matheus Pereira   boa sorte,2026-06-18 18:44:40,True
Palmeiras,bibizoca,@brizzzsr,9 s,prefiro ser chamada de porca(pq do palmeiras),2026-06-18 18:44:40,True
Santos,Paulo fly,@Paulofly5390341,10 s,"Se o fator for só seleção e copa do mundo, minha lista fica assim

1 Garrincha 
2 Pelé (só jogou duas e só foi importante em uma )
3 Romário 
4 Ronaldo 
5 Jairzinho 
6 Didi
7 Rivelino 
8 Nilton Santos
9 Zagallo 
10 Rivelino 

Futebol por futebol. Neymar em 2 e Pelé 1, Garrincha 3",2026-06-18 18:44:40,True
Cruzeiro,Tobi,@TobiUtirra,11 s,"Sem treinador, atacante e goleiro tudo é possível. N lembra do Cruzeiro x Sousa",2026-06-18 18:44:40,True
Internacional,Nádia Saldanha,@Nadia0302Nadia,14 s,Lula...um verdadeiro presiDEMENTE e pária internacional ,2026-06-18 18:44:40,False
Santos,WELINTON M S,@WELINTONMARTI14,15 s,"Já que é pra esculachar com o país! Montem uma Chapa desse Renan Santos com aquele outro Reúnam Freitas o petista cassado e protegido do STF, lá do Paraná. Pois os dois servem a um mesmo partido o STF.. é cada uma q eu vejo",2026-06-18 18:44:40,False
São Paulo,"Castiel, O Mentalista ♱",@L4WLION,23 s,"São Paulo Apóstolo, por diversos motivos.

Se posso brevemente destacar um aqui, escolho este: o ato de se lembrar de Deus e dos seus amigos em cada momento, na glória e na derrota. Esse amor indelével é um tesouro para mim.

O Messi já aprendeu com ele.
Eu quero aprender também.",2026-06-18 18:44:40,False
Palmeiras,mari,@iS2sleep,24 s,"fiquei com tanta raiva assisti, até os 60min pq tava um porre, ai quando eu desligo a tv pra dormir e acordo PAH 3x1 com um golaço no final  
nossa sim! arias joga muito, tenho tanta raiva que ele foi pro palmeiras pqp 
com CERTEZA, eles começaram mal mas depois encaixaram",2026-06-18 18:44:40,True
Internacional,lucas,@luvtfpn,25 s,"Todos os cursos no fim das contas são interligados, e algum tratam de especificidades, RI trata de tudo isso com foco no âmbito internacional, e nem tudo é feito pra criar efeitos diretos pro mercado de trabalho, pesquisa e construção de conhecimento também é importante",2026-06-18 18:44:40,False
Atlético Mineiro,Flu na Lata,@NaLataFlu,33 s,"Atlético Mineiro é hexa o que? Mineiro?

Nem sabia que eles tinham 6 títulos, tirando mineiro",2026-06-18 18:44:44,True
Internacional,Kauan Carvalho,@sielkace,35 s,"Braian Romero se junta ao vigente e máximo campeão do futebol paraguaio. O argentino defendeu as cores do Internacional em um passado não muito distante, porém, não atendeu as expectativas.",2026-06-18 18:44:44,True
Santos,Príncipe Netuno,@expressarilusao,35 s,Óbvio. Ele joga no Santos,2026-06-18 18:44:44,True
