Time,Nome,Usuario,Tempo,Texto,Coletado_em
Grêmio,Grêmio em Jogo,@Gremioemjogo,8 s,Quero distância do Grêmio dessa confraria de abobados!,2026-06-18 18:44:40
Cruzeiro,INGRESSO,@almiragace,8 s,Camisa 10 do Cruzeiro de Brasil  novo  Alex   para Turquia é o Matheus Pereira   boa sorte,2026-06-18 18:44:40
Palmeiras,bibizoca,@brizzzsr,9 s,prefiro ser chamada de porca(pq do palmeiras),2026-06-18 18:44:40
Santos,Paulo fly,@Paulofly5390341,10 s,"Se o fator for só seleção e copa do mundo, minha lista fica assim

1 Garrincha 
2 Pelé (só jogou duas e só foi importante em uma )
3 Romário 
4 Ronaldo 
5 Jairzinho 
6 Didi
7 Rivelino 
8 Nilton Santos
9 Zagallo 
10 Rivelino 

Futebol por futebol. Neymar em 2 e Pelé 1, Garrincha 3",2026-06-18 18:44:40
Cruzeiro,Tobi,@TobiUtirra,11 s,"Sem treinador, atacante e goleiro tudo é possível. N lembra do Cruzeiro x Sousa",2026-06-18 18:44:40
Palmeiras,mari,@iS2sleep,24 s,"fiquei com tanta raiva assisti, até os 60min pq tava um porre, ai quando eu desligo a tv pra dormir e acordo PAH 3x1 com um golaço no final  
nossa sim! arias joga muito, tenho tanta raiva que ele foi pro palmeiras pqp 
com CERTEZA, eles começaram mal mas depois encaixaram",2026-06-18 18:44:40
Atlético Mineiro,Flu na Lata,@NaLataFlu,33 s,"Atlético Mineiro é hexa o que? Mineiro?

Nem sabia que eles tinham 6 títulos, tirando mineiro",2026-06-18 18:44:44
Internacional,Kauan Carvalho,@sielkace,35 s,"Braian Romero se junta ao vigente e máximo campeão do futebol paraguaio. O argentino defendeu as cores do Internacional em um passado não muito distante, porém, não atendeu as expectativas.",2026-06-18 18:44:44
Santos,Príncipe Netuno,@expressarilusao,35 s,Óbvio. Ele joga no Santos,2026-06-18 18:44:44
Cruzeiro,vis,@tsarcheirs,36 s,"vc ta pedindo mt ficha, será q o cruzeiro vai dar conta de preenche-las kkkk",2026-06-18 18:44:44
Santos,Dr.Strangelove,@13strangelove13,37 s,o que de revolucionário messi fez para merecer ser o melhor? Bicho numa época SEM INTERNET UM NEGAO JOGANDO NA PORRA DO SANTOS colocou o mundo a admirar o seu esporte tornou se celebridade pela sua capacidade de ser espetacular Pelé revolucionou o futebol fez do 10 identidade,2026-06-18 18:44:45
Corinthians,dinamite na mão garante a participação política,@157ontologico4,40 s,"""corinthiano"" e ao mesmo tempo bolsominion nazista e racista... tem momentos que o analfabetismo de corinthians não conhece limites, que lixo",2026-06-18 18:44:45
Vasco,llen Jardim ᶜʳᵛᵍ ✠,@AllenF_Crvg,45 s,Com essa copa esqueci totalmente do Vasco! Não sei de nada sobre especulações de jogadores etc.,2026-06-18 18:44:45
Vasco,Iamée ᶜʳᵛᵍ,@Iameelf,48 s,"Eu não aguento mais esse elenco do Vasco, na moralllllll, que nojo",2026-06-18 18:44:45
Vasco,Moreira ✠,@moreira_crvg,49 s,Outro ponto positivo nessa Copa do Mundo é que esquecemos um pouco a merda que é o Vasco.,2026-06-18 18:44:45
Vasco,Vinicius,@1nomadrid,50 s,Você torce pro Vasco.,2026-06-18 18:44:45
São Paulo,Audiência Da TV,@ATV_Oficial,50 s,"17h45 em São Paulo 

Globo #CopaNaGlobo 15.0
Record #CidadeAlerta 7.5
SBT #CopaNoSBT 2.9
Band #BrasilUrgente 0.6

Via 
@comentandotvbr",2026-06-18 18:44:45
Vasco,Vascaína sincera,@gabivasco1898,51 s,"Na reportagem diz que parte do elenco está questionando o treinador. Tô cansada desse elenco vagabundo escolher quando joga só pra derrubar treinador. Enquanto isso, o prejudicado é o Vasco.",2026-06-18 18:44:45
Internacional,Menino Horácio,@NetoHoracio,1 min,"Ceará conquistou o acesso antecipado à primeira divisão do Campeonato Brasileiro sub-20.

O Vovôzinho venceu por 3 a 1 o Internacional, de virada, com gols de Enzo, Esli e Ronald.

Trazendo as entrevistas de Israel Paz (diretor da base) e dos autores dos gols: Enzo Ludovico,",2026-06-18 18:44:49
Corinthians,vee VAI VER O ZAYN,@cigrtaftsx,1 min,SPORT CLUB CORINTHIANS PAULISTA,2026-06-18 18:44:49
São Paulo,Audiência Da TV,@ATV_Oficial,1 min,"17h37 em São Paulo 

Globo #CopaNaGlobo 14.0
Record #CidadeAlerta 7.3
SBT #CopaNoSBT 2.7
Band #BrasilUrgente 0.7

Via 
@comentandotvbr",2026-06-18 18:44:49
