Time,Nome,Usuario,Tempo,Texto,Coletado_em
Flamengo,Ofertas em Geral,@ofertasgeral_,14 s," Baixou mais um pouco também!

Mochila CR Flamengo adidas
[adidas oficial • mercado livre]

Por R$289,59 ̶(̶R̶$̶4̶9̶9̶)̶
parcelado em 6x sem juros

Compre aqui: 
meli.la/2WwNp8h
Cupom: MODANOMELI
 
 A promoção pode acabar a qualquer momento!",2026-06-18 18:55:59
Internacional,Neil,@Bacalovx,17 s,"Suborno envolvendo Soros, Trump, máfia albanesa e narcotráfico internacional. Esse negócio é lavagem de dinheiro do tráfico e só agora caiu na boca do povo por lá. Albânia é extremamente antissemita. As más línguas dizem que o Sultão Louco da Turquia está por trás dos protestos.",2026-06-18 18:55:59
Palmeiras,B͓̽A͓̽D͓̽ B͓̽O͓̽Y͓̽,@mau_mau_fuck,19 s,"Pica no lula, pica no Palmeiras, pica no Trump e vai picando kkkk",2026-06-18 18:55:59
São Paulo,Amanda Patrícia,@Amanda_Patrycia,21 s,"1- Foto 9 De Junho  
2- Video 12 De Junho
3- Foto - Print De Um Video Em São Paulo Q Foi? Uma Jogada De Uma Ponte E Veja Como A Mulher Morre De Braços Aberto E Tudo Isso Foi Antes Da Morte Do Oliver Na Onde?  RIO DE JANEIRO E Como Foi? De   É INACREDITÁVEL ",2026-06-18 18:55:59
Palmeiras,RS,@3tristestrigres,23 s,"Fujam.
Alfinetadas nos olhos serão uma experiência menos sofrida.
Mais um devaneio pseudo-intelectual na linha de outros,dos medíocres que infetaram tambem o cinema historico.
Cenas de palmeiras esvoaçando ao vento 10 minutos e silencio? Temos.",2026-06-18 18:55:59
São Paulo,Jornal Hoje em Dia,@jornalhojeemdia,26 s,"Equipe médica avalia transferência para São Paulo

Clique e saiba mais 
hoje.vc/3ju3j

#saúdeebemestar #estadodesaúde #líderindígena #raoni #lúcido #consciente #cuidadosintensivos #jornalhojeemdia",2026-06-18 18:55:59
Flamengo,@CRF News,@CRFNews1895,58 s," DE VOLTA AOS TREINOS!

Confira o calendário da semana para o futebol profissional do Flamengo!",2026-06-18 18:56:03
Internacional,A BOLA,@abolapt,58 s,"Mundial 2026: filão Manzambi estava escondido no banco suíço (crónica)

Leia aqui: 
brnw.ch/21x3t0L

#futebol #internacional #mundial #suica #bosniaeherzegovina #tarikmuharemovic #rubenvargas #johanmanzambi #granitxhaka #erminmahmic",2026-06-18 18:56:03
Internacional,최 Vic | IS BAD,@jonghosBear_,59 s,"Ela pagou o frete inter adiantado e recebeu a caixa em janeiro junto com a taxa da RF. Invés de passar ambos valores juntos e também as datas limites, ela passou o valor somente do frete internacional (prazo pra fevereiro) e em março somente que foi informar a taxa ",2026-06-18 18:56:03
Grêmio,Leila Krüger,@leilakrugerx,1 min,"Nardoni tem a alcunha de “melhor 5 da Argentina”. Teve de ser improvisado como 8, e ele e o Racing caíram. 
Villasanti sempre foi 5, na Seleção do Paraguai e no Grêmio. É onde melhor joga.",2026-06-18 18:56:03
Santos,Sayori Do Camp Nou,@SayoriSFC1912,1 min,"Ele passou a temporada inteira se quebrando a cada 2 jogos 
Desfalcou o Santos no Paulistão Inteiro, ficou fora de vários jogos importantes do Santos 
Mas não, agora ia ser diferente né? Pqp",2026-06-18 18:56:03
Corinthians,Marcos - #SAFiel,@marcos_friasjr,1 min,"Porra 
@albaaoficial
, Corinthians Futebol Clube vc tá de sacanagem…

Sport Club Corinthians Paulista (SCCP)

Aprende aí ",2026-06-18 18:56:03
Palmeiras,well ⓈⒺⓅ,@wenbler,1 min,saudades sociedade esportiva palmeiras ,2026-06-18 18:56:03
Vasco,Júnior,@junioramaovasco,1 min,"FORA TODO MUNDO!!

FORA DO VASCO , ELENCO DE VAGABUNDO!!!",2026-06-18 18:56:03
Vasco,Dezito ✠,@dezitotoiss,1 min,"Por mim, quanto mais tempo demorar pro Vasco voltar a entrar em campo melhor.

Paz terrível nessa pausa do Brasileirão. Saudade zero. 

Viva a Copa do Mundo e a falta de estresse com aqueles perebas horríveis",2026-06-18 18:56:03
Internacional,História e música.,@Pairaisopolis12,1 min,"EUA protetor do comércio global? Os EUA protegem o comércio global de que? Eles usam o comércio global para atacar e pressionar outros países, os únicos países que têm feito bloqueio naval e pirataria internacional e com isso ameaçando o comércio global é só os EUA e Europa.",2026-06-18 18:56:03
Corinthians,Galu,@GaluS117,1 min,"Ta bom, agr copiar mais gritos de times além desse do corinthians",2026-06-18 18:56:03
Corinthians,Ryan Leonardo,@leonardo_r29599,1 min,"Você vive em que mundo? O Corinthians está com mais de 3 bilhões em dívidas e não tem um presidente que não roubou desde 1994. Mas claro, os gaviões são um ótimo órgão fiscalizador né....",2026-06-18 18:56:03
Fluminense,I am Clancy |-/,@dudanz,1 min,Não era jogo do Fluminense,2026-06-18 18:56:03
