Time,Nome,Usuario,Texto,Data,topicos,Stop words,Texto_normalizado
Fluminense,guimarãess,@guimaffc,"merece fluminense fudido 2019, 2009, 2017, 2018, 2024",2026-03-19 19:03:32,,"tu, o, de","merece fluminense fudido 2019, 2009, 2017, 2018, 2024"
Flamengo,𐙚 jessi • arirang,@yoonbg7,"flamengo 20h comeback arirang 01hr, army flamenguista hoje soltando fogos!!!",2026-03-19 19:03:30,,"e, tá","flamengo 20h comeback arirang 01hr, army flamenguista hoje soltando fogos!!!"
Flamengo,CFD - Futebol e Fantasies,@CFD_Oficial,": rossi; emerson royal, léo ortiz, léo pereira alex sandro; pulgar, jorginho arrascaeta; luiz araújo, samuel lino pedro. : marcelo rangel; marcelinho, marllon, tchamba kayky almeida; picco, zé ricardo, patrick paula vitor bueno; jajá alef manga.",2026-03-19 19:03:30,"Flamengo, Remo","e, e, e, e, de, e, e",": rossi; emerson royal, léo ortiz, léo pereira alex sandro; pulgar, jorginho arrascaeta; luiz araújo, samuel lino pedro. : marcelo rangel; marcelinho, marllon, tchamba kayky almeida; picco, zé ricardo, patrick paula vitor bueno; jajá alef manga."
Flamengo,DECO SRN,@Deco_SRN,flamengo remo escalados!,2026-03-19 19:03:27,,e,flamengo remo escalados!
Flamengo,Deivede,@Deivede73,indo ver flamengo remo porque nunca vou saber quando vou poder ver jogo remo novo hino remo bonito quero arranjar camisa remo porque foda flamengo vou torcer pro remo brincadeira bora flamengo leo jardim,2026-03-19 19:03:24,,"e, eu, um, do, de, e, por, que, o, do, é, e, por, que, eu, uma, do, e, se, o, do",indo ver flamengo remo porque nunca vou saber quando vou poder ver jogo remo novo hino remo bonito quero arranjar camisa remo porque foda flamengo vou torcer para o remo brincadeira bora flamengo leo jardim
Flamengo,Cadu Azevedo,@caduazvdo,cbf quer salvar flamengo libra,2026-03-19 19:03:24,,"a, o, da",cbf quer salvar flamengo libra
Grêmio,Central Cartola,@central_cartola,brasileirão - 7ª rodada: bola rolando grêmio 0x0 vitória,2026-03-19 19:03:23,,,brasileirão - 7ª rodada: bola rolando grêmio 0x0 vitória
Grêmio,Felippe Garcia,@Garcia_Itaipu,camisa horrenda grêmio.,2026-03-19 19:02:37,,"que, do",camisa horrenda grêmio.
Grêmio,Iago Ferreira,@arquiteto_iago,começou! grêmio vitória estão campo.,2026-03-19 19:02:37,,"e, em",começou! grêmio vitória estão campo.
Flamengo,Sankin,@SankinBR,"novos investimentos ou nao n impede nada dividir igualmente os lucros atuais novo sua jamanta animal, flamengo n vai ganhar msm q fluminense ou q remo, flamengo vai ganhar mais, só n vai ganhar 15 x mais",2026-03-19 19:02:37,,"em, e, de, o, o, o","novos investimentos ou nao nao impede nada dividir igualmente os lucros atuais novo sua jamanta animal, flamengo nao vai ganhar mesmo que fluminense ou que remo, flamengo vai ganhar mais, só nao vai ganhar 15 x mais"
Flamengo,AdoniasRdeCNeto,@AdoniasRdeCNeto,"palmeiras ligar sac cbf. comprou campeonato entregaram pro flamengo, segundo sua teoria.",2026-03-19 19:02:37,,"o, tem, que, no, da, o, e, foi, a","palmeiras ligar sac cbf. comprou campeonato entregaram para o flamengo, segundo sua teoria."
Fluminense,Anderson,@andrssonaraujjo,"fluminense conseguiu tomar gol victor luís, resume muito clássico",2026-03-19 19:02:37,,"o, do, isso, o, que, é, o","fluminense conseguiu tomar gol victor luís, resume muito clássico"
Grêmio,Luiz Filipe Macedo,@lzfmacedo,"entendo importância financeira, mas podia ter diretriz proibindo patrocínio master pra poder deixar frente camisas futebol bem lisinhas grêmio hoje patrocínio master espetáculo",2026-03-19 19:02:37,,"a, uma, a, das, de, essa, do, sem, tá, um","entendo importância financeira, mas podia ter diretriz proibindo patrocínio master para poder deixar frente camisas futebol bem lisinhas grêmio hoje patrocínio master espetáculo"
Flamengo,Ponci,@vitor_ponciano,po cara vdd 5 jogos maracanã mês você n for sócio pagar 1/2 vasco - r$ 50 flamengo - r$ 60 athletico - r$ 45 vasco - r$ 60 atlético mg - r$ 45 total - r$ 260 for inteiras r$ 520 for sócio 160 sócio + 60 vs vasco 220 só ingresso fica foda pro clt,2026-03-19 19:02:37,,"de, no, no, se, e, se, de, se, do, de",po cara vdd 5 jogos maracanã mês você nao for sócio pagar 1/2 vasco - r$ 50 flamengo - r$ 60 athletico - r$ 45 vasco - r$ 60 atlético mg - r$ 45 total - r$ 260 for inteiras r$ 520 for sócio 160 sócio + 60 vs vasco 220 só ingresso fica foda para o clt
Flamengo,TETRACAMPEÃO,@brunoestevaocrf,esses times mais modestos adoram dar vida contra gente pra vender caro derrota dps abrem as pernas pros outros adversários kkk foda flamengo. mas vamos vencer,2026-03-19 19:02:37,,"a, a, a, e, é, ser, o",esses times mais modestos adoram dar vida contra gente para vender caro derrota dps abrem as pernas para os outros adversários kkk foda flamengo. mas vamos vencer
Flamengo,alicia ᶜʳᶠ,@clickd99,"muito isso, vei, não sei flamengo aguenta",2026-03-19 19:02:37,,"se, o","muito isso, vei, não sei flamengo aguenta"
Corinthians,Fiel Cartoon • Comissões Abertas •,@FielCartoon,daqui pouco corinthians campo!! chapecoense x corinthians campeonato brasileiro - 7ª rodada 21h30 arena condá amazon prime video,2026-03-19 19:02:37,VaiCorinthians,"a, tem, em",daqui pouco corinthians campo!! chapecoense x corinthians campeonato brasileiro - 7ª rodada 21h30 arena condá amazon prime video
Flamengo,@CRF News,@CRFNews1895,"nosso time gente campo! confira flamengo enfrentar remo, pelo brasileirão!",2026-03-19 19:02:37,"escalação, FLAxREM","é, a, em, a, do, para, o","nosso time gente campo! confira flamengo enfrentar remo, pelo brasileirão!"
Vasco,GIOVANE DOS SANTOS,@Giovane170,só estou vendo ou vocês também?? vários flamenguistas fazendo vídeos falando bem torcida vasco kkkkkkkkk quer ganhar engajamentos mas está tranquilo torcida vasco braba mesmo,2026-03-19 19:02:37,,"é, eu, que, isso, da, do, eles, a, do, é",só estou vendo ou vocês também?? vários flamenguistas fazendo vídeos falando bem torcida vasco kkkkkkkkk quer ganhar engajamentos mas está tranquilo torcida vasco braba mesmo
Corinthians,A.netinha REVOLTADA,@AnnetteCarvalh4,"deus, pfv deus faça corinthians ganhar cumeiras f0der sempre",2026-03-19 19:02:37,,"o, e, o, se","deus, pfv deus faça corinthians ganhar cumeiras f0der sempre"
Grêmio,Rafael Targanski,@RTarganski,não parece camisa grêmio longe sequer parece tricolor. crime clube deixou new balance fazer,2026-03-19 19:02:37,,"que, é, a, do, e, de, ser, é, um, o, que, o, a",não parece camisa grêmio longe sequer parece tricolor. crime clube deixou new balance fazer
Cruzeiro,ϟ,@sexccism,"salve dono cruzeiro! saravá, seu tiriri.",2026-03-19 19:02:37,,"o, do","salve dono cruzeiro! saravá, seu tiriri."
Palmeiras,PLACAR,@placar,clássico! são paulo palmeiras trocam farpas antes clássico pelo brasileirão,2026-03-19 19:02:37,,"é, e, de",clássico! são paulo palmeiras trocam farpas antes clássico pelo brasileirão
Grêmio,Grêmio News,@canalgremionews,grêmio confirma promoção cinco jovens ao elenco principal,2026-03-19 19:02:37,,"a, de",grêmio confirma promoção cinco jovens ao elenco principal
Flamengo,Marquinhos Assunçãoᶜʳᶠ,@MarquinhosAssu2,"arbitragem definida ! comissão arbitragem cbf, confirmou nome árbitro pernambucano rodrigo josé pereira lima comandar corinthians x flamengo, domingo, 20:30 horas neo química arena.",2026-03-19 19:02:37,,"a, de, da, o, do, de, para, na","arbitragem definida ! comissão arbitragem cbf, confirmou nome árbitro pernambucano rodrigo josé pereira lima comandar corinthians x flamengo, domingo, 20:30 horas neo química arena."
